name,code,external_code,external_code_2,email,street_line_1,street_line_2,city,state_or_region,country_code,post_code,timezone,latitude,longitude,support_pickup,phone,pickup_instructions,website_url,local_inventory,local_inventory_source_id,ship_from_store,tag_list,inventory_source.1.name,inventory_source.2.name,business_hour.1.day,business_hour.1.open_time,business_hour.1.close_time,business_hour.2.day,business_hour.2.open_time,business_hour.2.close_time,business_hour.3.day,business_hour.3.open_time,business_hour.3.close_time,business_hour.4.day,business_hour.4.open_time,business_hour.4.close_time,business_hour.5.day,business_hour.5.open_time,business_hour.5.close_time,business_hour.6.day,business_hour.6.open_time,business_hour.6.close_time,business_hour.7.day,business_hour.7.open_time,business_hour.7.close_time
ÁGIOS NIKOLAOS,agios_nikolaos,external_Agios_Nikolaos,,,12o KLM VOURVOUROU - SARTIS,,Manasu,Grecia,GR,0,(GMT+02:00)Athens,40.1882696,23.7847253,,306947941959,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,09:00:00 p. m.,tuesday,10:00:00 a. m.,09:00:00 p. m.,wednesday,10:00:00 a. m.,09:00:00 p. m.,thursday,10:00:00 a. m.,09:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,11:00:00 a. m.,08:00:00 p. m.
ZAPOPAN,zapopan,external_zapopan,,,"Centro Comercial Galerías Avenida Rafael Sanzio 150 in 204, Vallarta Camichines",,Liverpool,Jalisco,MX,45020,(GMT-06:00) Mexico City,20.6770569,-103.4338671,,,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,09:00:00 p. m.,tuesday,10:00:00 a. m.,09:00:00 p. m.,wednesday,10:00:00 a. m.,09:00:00 p. m.,thursday,10:00:00 a. m.,09:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,11:00:00 a. m.,07:00:00 p. m.
ZAKYNTHOS,zakynthos,external_zakynthos,,,ARCHIEPISKOPOU LATTA 20,,Zakynthos,Grecia,GR,291 00,(GMT+02:00)Athens,37.783874,20.8814927,,306977512166,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,09:00:00 p. m.,tuesday,10:00:00 a. m.,09:00:00 p. m.,wednesday,10:00:00 a. m.,09:00:00 p. m.,thursday,10:00:00 a. m.,09:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,11:00:00 a. m.,08:00:00 p. m.
YOKOHAMA,yokohama,external_yokohama,,,Lumine yokohama 3F reir 2-16-1 nishiku takashima yokohama city kanagawa,,Yokohama,Japon,JP,220-0011,(GMT+9:00) Tokyo,33.415004,76.6582172,,,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,08:00:00 p. m.,tuesday,10:00:00 a. m.,08:00:00 p. m.,wednesday,10:00:00 a. m.,08:00:00 p. m.,thursday,10:00:00 a. m.,08:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,11:00:00 a. m.,07:00:00 p. m.
YEPPOON,yeppoon,external_yeppoon,,,2b James St YEPPOON QLD 4703,,yeppoon,Queensland,AU,4703,(GMT+10:00) Sydney,-23.135804,150.7370923,,(07) 4938 3440,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,08:00:00 p. m.,tuesday,10:00:00 a. m.,08:00:00 p. m.,wednesday,10:00:00 a. m.,08:00:00 p. m.,thursday,10:00:00 a. m.,08:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,10:00:00 a. m.,08:00:00 p. m.
WONTHAGGI,wonthagi,external_wonthaggi,,,152 Graham St Wonthaggi VIC 3995,,Melbourne,Victoria,AU,3995,(GMT+10:00) Sydney,-38.6060294,145.589192,,(03) 5672 2274,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,09:00:00 p. m.,tuesday,10:00:00 a. m.,09:00:00 p. m.,wednesday,10:00:00 a. m.,09:00:00 p. m.,thursday,10:00:00 a. m.,09:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,11:00:00 a. m.,08:00:00 p. m.
WILDWOOD,wildwood,external_wildwood,,,2701 Boardwalk,,wilwood,New Jersey,US,8260,(GMT-5:00) Eastern Time (US & Canada),384143166,-80.8282858,,,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,08:00:00 p. m.,tuesday,10:00:00 a. m.,08:00:00 p. m.,wednesday,10:00:00 a. m.,08:00:00 p. m.,thursday,10:00:00 a. m.,08:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,10:00:00 a. m.,08:00:00 p. m.
LIVERPOOL PUERTO VALLARTA,puerto_vallarta,external_puerto_vallarta,,,"Galerias Vallarta,Blvrd Francisco Medina Ascencio 2920, Educación",,Puerto Vallarta,Jalisco,MX,48338,(GMT-06:00) Mexico City,20.6583372,-105.2410233,,,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,08:00:00 p. m.,tuesday,10:00:00 a. m.,08:00:00 p. m.,wednesday,10:00:00 a. m.,08:00:00 p. m.,thursday,10:00:00 a. m.,08:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,12:00:00 p. m.,07:00:00 p. m.
LIVERPOOL TUXTLA GUTIÉRREZ,tuxtla_gutierrez,external_tuxtla_gutierrez,,,"Galerías Boulevard Blvd. Belisario Domínguez 1691, Jardines de Tuxtla, 29020",,Tuxtla Gutiérrez,Chiapas,MX,29058,(GMT-06:00) Mexico City,16.7537077,-93.1516499,,,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,08:00:00 p. m.,tuesday,10:00:00 a. m.,08:00:00 p. m.,wednesday,10:00:00 a. m.,08:00:00 p. m.,thursday,10:00:00 a. m.,08:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,12:00:00 p. m.,07:00:00 p. m.
LIVERPOOL ACAPULCO,liverpool_acapulco,external_liverpool_acapulco,,,"Boulevard de las Naciones 1813, Playa Diamante, 39907 Acapulco, Gro",,Acapulco,Guerrero,MX,39370,(GMT-06:00) Mexico City,16.7785206,-99.7842144,,,,,,,,Site_Maaji|Site_MaajiCO,,,monday,10:00:00 a. m.,08:00:00 p. m.,tuesday,10:00:00 a. m.,08:00:00 p. m.,wednesday,10:00:00 a. m.,08:00:00 p. m.,thursday,10:00:00 a. m.,08:00:00 p. m.,friday,10:00:00 a. m.,09:00:00 p. m.,saturday,10:00:00 a. m.,09:00:00 p. m.,sunday,12:00:00 p. m.,07:00:00 p. m.
