id,idProducto,idReferenciaFF,resul,idReferenciaFFColor,idReferenciaFFCorte,idReferenciaFFPadre,codigo_producto
90,74530,146,1,0,0,0,1466cpr01_red_os
4251,74530,5862,1,0,0,0,1466cpr01_rojo_os
338,74857,478,1,484,0,483,2121shn01_azul_xs
341,74860,481,1,484,0,483,2121shn01_azul_lg
351,74979,495,1,498,0,497,2033sun01_azul_lg
352,74980,496,1,498,0,497,2033sun01_azul_xl
3402,75150,4844,2,4850,0,4849,1469cks02_rosado_xs
3584,75150,4844,2,0,0,0,1469cks02_rosado_xs
3403,75151,4845,2,4850,0,4849,1469cks02_rosado_sm
3585,75151,4845,2,0,0,0,1469cks02_rosado_sm
3404,75152,4846,2,4850,0,4849,1469cks02_rosado_md
3586,75152,4846,2,0,0,0,1469cks02_rosado_md
3405,75153,4847,2,4850,0,4849,1469cks02_rosado_lg
3587,75153,4847,2,0,0,0,1469cks02_rosado_lg
3406,75154,4848,2,4850,0,4849,1469cks02_rosado_xl
3588,75154,4848,2,0,0,0,1469cks02_rosado_xl
3407,75338,4851,2,4857,0,4856,1442csh04_azul_xs
3417,75338,4851,2,0,0,0,1442csh04_azul_xs
3408,75339,4852,2,4857,0,4856,1442csh04_azul_sm
3418,75339,4852,2,0,0,0,1442csh04_azul_sm
3409,75340,4853,2,4857,0,4856,1442csh04_azul_md
3419,75340,4853,2,0,0,0,1442csh04_azul_md
3420,75341,4854,1,0,0,0,1442csh04_azul_lg
3411,75342,4855,2,4857,0,4856,1442csh04_azul_xl
3421,75342,4855,2,0,0,0,1442csh04_azul_xl
3412,75351,4858,2,4864,0,4863,1372csh01_verde_xs
3524,75351,4858,2,0,0,0,1372csh01_verde_xs
3413,75352,4859,2,4864,0,4863,1372csh01_verde_sm
3525,75352,4859,2,0,0,0,1372csh01_verde_sm
3414,75353,4860,2,4864,0,4863,1372csh01_verde_md
3526,75353,4860,2,0,0,0,1372csh01_verde_md
3415,75354,4861,2,4864,0,4863,1372csh01_verde_lg
3527,75354,4861,2,0,0,0,1372csh01_verde_lg
3416,75355,4862,2,4864,0,4863,1372csh01_verde_xl
3528,75355,4862,2,0,0,0,1372csh01_verde_xl
65,75372,121,1,0,0,0,1235xtw01_red_os
4249,75372,5860,1,0,0,0,1235xtw01_rojo_os
69,75374,125,1,0,0,0,1238xcp01_red_os
35,75376,57,1,0,0,0,1218xtw02_azul_os
47,75383,98,1,0,0,0,1219xpk02_azul_os
3929,75612,5497,2,5503,0,5502,1520sfh02_anaranjado_xs
3934,75612,5497,2,0,0,0,1520sfh02_anaranjado_xs
3935,75613,5498,1,0,0,0,1520sfh02_anaranjado_sm
3931,75614,5499,2,5503,0,5502,1520sfh02_anaranjado_md
3936,75614,5499,2,0,0,0,1520sfh02_anaranjado_md
3932,75615,5500,2,5503,0,5502,1520sfh02_anaranjado_lg
3937,75615,5500,2,0,0,0,1520sfh02_anaranjado_lg
3933,75616,5501,2,5503,0,5502,1520sfh02_anaranjado_xl
3938,75616,5501,2,0,0,0,1520sfh02_anaranjado_xl
393,76194,555,1,561,0,560,1042trs01_azul_xs
412,76213,580,1,582,0,581,1044trs01_negro_xl
3482,76240,4915,2,4921,0,4920,1929sfa03_verde_xs
