"idCategoriaSaya	idCategoriaFF	nameFF	idCategoriaParentFF	nombreCategoriaSetFF",idCategoriaSaya,idCategoriaFF,nameFF,idCategoriaParentFF,nombreCategoriaSetFF
,,0,ACCESORIOS,53,Maaji_CO
,"59,322",54,BOLSOS Y MALETINES,53,Maaji_CO
,69-70-248-249-270-271-272-273,55,COSMETIQUERAS Y SOBRES,53,Maaji_CO
,61-68- 251,56,GORROS Y VISERAS,53,Maaji_CO
,65-253-275-276-277,57,MANTAS DE PLAYA,53,Maaji_CO
,,0,ROPA DE PLAYA,60,Maaji_CO
,145-146-368-138-139,61,FALDAS,60,Maaji_CO
,140-235,62,PANTALONES,60,Maaji_CO
,260-292-137-144-147-247-292,63,PAREOS,60,Maaji_CO
,143,64,SHORTS,60,Maaji_CO
,141-142-151-234-144-150-236-261-262-278-291-375-373,66,VESTIDOS,60,Maaji_CO
,148-149-293-333-351,65,TOPS,60,Maaji_CO
,99-100-101-102-103-104-105-106-363,0,NIÑOS,58,Maaji_CO
,97-320-354-355-356-358-359-360-364-365-371,0,PANTALONETAS,59,Maaji_CO
,,0,ROPA DEPORTIVA,67,Maaji_CO
,129-132-238,68,CAMISETAS,67,Maaji_CO
,239-264-280-281-293,69,CHAQUETAS Y BUSOS,67,Maaji_CO
,127-130-282-295-296-297,70,LEGGINS,67,Maaji_CO
,128-133-134-135-244,71,PANTALONES,67,Maaji_CO
,126-136,72,SHORTS,67,Maaji_CO
,82-125-266-268,73,TOPS,67,Maaji_CO
,,0,SWIMWEAR,74,Maaji_CO
,71-72-73-74-153-157,75,BOTTOMS,74,Maaji_CO
,,76,MATCHING SETS,74,Maaji_CO
,168-169-259-349-350-361-362-369-370-374,77,ONE PIECE,74,Maaji_CO
,83-84-85-75-76-80-77-78-79-81-115-290-269-372-377-265-379,78,TOPS,74,Maaji_CO
"				",,,,,
,,0,ACCESORIES,1,default
,59-322,2,BAGS,1,default
,69-70-248-249-270-271-272-273,5,COSMETICS AND ENVELOPES,1,default
,61-68- 251,4,CAPS AND VISORS,1,default
,65-253-275-276-277,3,BEACH COVER,1,default
,,0,COVER UPS,13,default
,145-146-368-138-139,18,SKIRTS,13,default
,140-235,15,PANTS,13,default
,260-292-137-144-147-247-292,16,PAREOS,13,default
,143,17,SHORTS,13,default
,141-142-151-234-144-150-236-261-262-278-291-375-373,14,DRESSES,13,default
,148-149-293-333-351,19,TOPS,13,default
,99-100-101-102-103-104-105-106-363,0,KIDS SWIMWEAR,20,default
"97-320-354-355-356-358-359-360-364-365-371	0	MEN SWIM TRUNKS	21	default",,,,,
"	0	ACTIVE	6	default",,,,,
"129-132-238	12	TSHIRTS	6	default",,,,,
"239-264-280-281-293	7	JACKETS AND SWEATERS	6	default",,,,,
"127-130-282-295-296-297	8	LEGGINGS	6	default",,,,,
"128-133-134-135-244	9	PANTS	6	default",,,,,
"126-136	10	SHORTS	6	default",,,,,
"82-125-266-268	11	SPORTY TOPS	6	default",,,,,
"	0	SWIMWEAR	22	default",,,,,
"71-72-73-74-153-157	23	BOTTOMS	22	default",,,,,
"	24	MATCHING SETS	22	default",,,,,
"168-169-259-349-350-361-362-369-370-374	25	ONE PIECE	22	default",,,,,
"83-84-85-75-76-80-77-78-79-81-115-290-269-372-377-265-379	26	TOPS	22	default",,,,,
